CVE_DOC,CVE_ART,COSTO_UNITARIO,COSTO_TOTAL_CALCULADO
F37883,TUE00342,0.0,722.38
F37884,TUE00103,248.65,497.3
F37888,PJ14F10B0600,0.0,775.73
F37888,PJ14J10B0600,0.0,404.78
F37892,TUA00148,1125.85,1125.85
F37898,TUE00132,432.3,432.3
F37899,P114Q1H90412,0.0,3965.36
F37900,TUS00119,48.21,48.21
F37903,TUA00087,318.83,2869.44
F37906,TUE00345,133.09,133.09
F37908,TUE00248,160.64,963.82
F37909,TJ00090,0.0,403.47
F37910,TUE00351,0.0,148.76
F37910,TUE00352,0.0,148.76
F37912,E1041968,0.0,2779.23
F37914,RP00183,7.6,7.6
F37919,RP00137,107.68,107.68
F37922,TUA00124,0.0,1943.52
F37925,TP0012,50.54,202.16
F37927,TUE00207,493.68,1974.74
F37929,RC00027,0.0,123.23
F37933,TUE00172,4045.07,4045.07
F37937,PT00082,1214.3,2428.6
F37938,TP0002,0.0,135.14
F37939,TUE00350,223.66,223.66
F37941,BN00252,183.93,367.86
F37942,TUA00436,333.44,1667.21
F37943,CAE00039,842.74,1685.48
F37944,TEA00099,217.64,1305.87
F37946,BC00027,797.54,797.54
F37947,TUA00099,1319.75,3959.26
F37951,TP0001,42.79,42.79
F37953,CM10D2025A00,67.31,201.92
F37953,CM10D2030A00,67.21,134.42
F37958,TP0004,86.23,172.46
F37959,TP0024,48.49,48.49
F37960,BL00055,0.0,213.87
F37961,TJ00043,0.0,48.85
F37962,TJ00043,0.0,146.54
F37964,TUS00003,46.14,461.36
F37966,BB1 1/2X1/2-300W,220.0,220.0
F37967,E1041960,0.0,4218.97
F37970,CS14E1020A00,28.9,28.9
F37971,P231F1H6AB00,671.48,1342.97
F37972,TUA00079,249.07,747.21
F37977,TUE00319,714.2,12855.68
F37978,TUE00248,160.64,963.82
F37980,TP0003,72.37,723.67
F37985,BO00059,199.22,796.86
F37987,CAE00039,842.74,1685.48
F37990,TUA00412,143.09,286.18
F37990,TUA00440,0.0,148.02
F37990,TUS00120,0.0,38.92
F37991,TP0002,51.36,102.71
F37996,TUA00124,517.64,1035.28
F37997,RM00038,0.0,921.37
F38000,TUA00376,2935.26,5870.53
F38001,TP0025,76.46,382.32
F38003,TUS00048,36.0,36.0
F38004,TUE00258,67.21,67.21
F38005,TP00011,509.98,1529.93
F38005,TUE00261,694.6,3472.99
F38008,TUA00437,0.0,485.55
F38012,TUE00336,0.0,722.34
F38014,PT00083,0.0,2592.94
F38021,PA00001,3624.09,7248.18
F38023,TP0011,144.4,144.4
F38026,BP00261,841.63,841.63
F38029,TUA00438,0.0,567.27
F38030,TP0011,144.4,144.4
F38036,TP0012,50.54,101.08
F38042,CAE00040,0.0,3998.41
F38043,TUE00034,504.53,1009.05
F38046,ECQ-00971,0.0,2619.0
F38046,ECQ-01444,852.37,3409.48
F38047,ECQ-00972,335.51,11742.95
F38047,ECQ-01444,0.0,7911.01
F38048,TUE00344,0.0,928.07
F38058,CS38C1008A00,0.0,618.84
F38059,BB00095,42.99,85.97
F38061,PT31B1D5A400,11.02,22.03
F38062,TP0025,76.74,460.41
F38064,TP0016,222.0,222.0
F38065,RM00022,33.79,33.79
F38066,TK00062,112.64,225.28
F38067,TP0011,144.4,722.0
F38067,TP0012,50.54,50.54
F38069,BP00260,72.34,72.34
F38073,E1041960,210.95,3586.12
F38074,TUA00021,0.0,4673.63
F38082,TUA00009,1048.4,4193.61
F38083,TP0001,42.79,42.79
F38085,TUA00258,0.0,1915.76
F38086,BN00254,0.0,291.71
F38089,TP0025,0.0,986.31
F38090,TUA00441,0.0,406.12
F38092,BP00215,97.53,97.53
F38092,RP00191,10.7,10.7
F38094,TP0025,0.0,98.63
F38096,RC00013,0.0,136.98
F38097,EE00021,2227.85,4455.7
F38102,TUA00442,305.31,610.62
F38104,TP0025,90.91,1363.68
F38109,RP00195,42.35,42.35
F38111,RM00022,33.79,135.17
F38112,RP00194,3.8,3.8
F38113,TUA00443,344.32,344.32
F38114,TEA00006,131.87,2637.36
F38115,RC00012,224.13,1344.78
F38116,TU5/16X230MM,200.3,200.3
F38119,EE00055,0.0,565.29
F38122,TEA00096,773.91,773.91
F38124,PT00083,477.85,2389.27
F38124,TEA00100,136.25,681.25
F38127,TP0002,62.82,62.82
F38129,CS12D2040A01,101.4,101.4
F38130,TUA00439,0.0,483.67
F38131,TEA00099,217.64,1305.87
F38132,TP0011,0.0,722.0
F38134,TP0002,62.82,125.64
F38135,TJ00063,0.0,461.74
F38140,PK31A1I1A000,0.0,1434.11
F38141,BC00027,797.54,1595.08
F38142,BB00101,36.52,73.04
F38145,TUE00081,701.72,701.72
F38147,CAE00011,88.03,352.13
F38148,RP00197,1368.31,1368.31
F38149,TUS00121,33.75,33.75
F38155,BP00263,80.09,80.09
F38159,TU5/16X870J127V,227.18,454.37
F38160,RP00196,0.0,5301.49
F38161,CS58M2050A11,172.13,344.27
F38161,PJ000GE1A400,58.36,116.73
F38170,TP00021,0.0,330.09
F38170,TP00022,0.0,453.27
F38171,BB1 1/2X1/2-300W,253.0,253.0
F38177,93980461,0.0,1261.99
F38178,93980461,0.0,1261.99
F38179,54020219,0.0,2135.98
F38180,54020219,1130.54,2261.08
F38186,TUA00131,2061.24,6183.72
F38189,RP00193,518.74,518.74
F38191,TUE00353,60.64,60.64
F38194,TUE00207,685.68,2742.7
F38195,TUE00354,295.91,295.91
F38196,PJ000GH1A000,0.0,412.22
F38196,PJ000GJ1A000,0.0,726.18
F38196,PT00084,0.0,1199.64
F38200,PT00010,0.0,671.87
F38201,TUA00127,0.0,1183.69
F38204,TUA00321,279.88,2239.06
F38205,MR01934,165.95,331.9
F38208,TP0001,42.79,128.38
F38209,RP00002,0.0,4434.97
F38215,ECQ-01444,806.14,3224.57
F38216,TUA00311,0.0,324.05
F38217,TUE00068,0.0,1141.51
F38221,CAS00080,0.0,14643.92
F38228,TUS00090,170.19,170.19
F38229,TEA00058,181.72,3634.36
F38230,BB1 1/2X1/2-300W,253.0,253.0
F38233,70001694,0.0,1516.01
F38234,70001692,0.0,909.55
F38235,70001684,115.41,692.44
F38236,RP00198,168.7,168.7
F38239,CAS00034,117.49,1174.89
F38240,TP0003,77.57,155.15
F38241,TP0022,0.0,9392.95
F38245,TEA00101,0.0,149.98
F38246,TP0016,222.0,444.0
F38247,TUS00122,0.0,61.3
F38248,TUS00122,0.0,91.95
F38249,TP0005,97.49,97.49
F38256,CS58G1030A00,0.0,229.29
F38261,TU5/16X203V,321.87,965.61
F38265,BP00264,0.0,208.8
F38276,CAS00043,0.0,130.94
F38277,47980249,287.63,1725.78
F38278,47980626,0.0,1885.91
F38279,MR8-250-11-13,0.0,320.04
F38281,TUA00449,0.0,2840.53
F38281,TUA00450,0.0,1472.41
F38282,TUA00049,0.0,2446.31
F38283,CBE00012,0.0,1707.07
F38283,CBE00040,0.0,1068.83
F38284,TK00065,0.0,124.56
F38288,TP0040,171.87,171.87
F38291,47980075,0.0,9760.13
F38293,47980249,0.0,4735.23
F38294,CAS00079,0.0,374.39
F38295,TUE00101,407.85,407.85
F38296,AK00012,0.0,467.13
F38297,TUA00445,848.3,1696.61
F38300,CBE00039,208.61,208.61
F38302,TJ00091,0.0,119.54
F38309,TU5/16X230MM,200.3,400.6
F38312,TUE00146,266.04,9577.26
F38315,TUA00325,3900.52,3900.52
F38317,BN00256,79.79,159.57
F38317,BN00257,83.72,167.44
F38317,BP00263,80.09,80.09
F38321,BB1 1/2X1/2-300W,253.0,253.0
F38324,RP00201,55.83,55.83
F38327,BB1 1/2X1/2-300W,253.0,253.0
F38329,TUA00436,0.0,3994.81
F38336,TU5/16X230MM,200.3,200.3
F38342,RP00202,7.6,7.6
F38343,CS58P2120A01,206.22,2062.24
F38344,BOBINA001,378.12,11343.64
F38346,TUA00444,602.39,602.39
F38347,CS14D2017B20,68.34,136.67
F38349,TP0011,135.69,542.76
F38349,TP0012,54.8,219.2
F38351,TP0006,432.0,1728.0
F38352,RP00203,0.0,199335.56
F38353,TUE00362,0.0,95.4
F38357,TEE00027,717.66,1435.32
F38358,TU5/16X230MM,200.3,200.3
F38364,TP0001,42.79,42.79
F38365,TUA00438,562.77,562.77
F38368,TUA00439,0.0,967.34
F38372,TUS00005,174.94,699.77
F38373,TU5/16X203V,321.87,965.61
F38374,BO00061,89.98,539.86
F38375,TUE00363,0.0,752.71
F38380,CS14D2017B20,0.0,333.2
F38386,BB1 1/2X1/2-300W,253.0,253.0
F38388,BO00064,7.2,14.4
F38390,BO00062,43.24,432.37
F38391,CBS00098,0.0,1443.18
F38392,TP0011,135.69,135.69
F38393,ECQ-00972,355.29,7105.79
F38393,ECQ-00974,1465.29,2930.59
F38395,TP0025,92.33,92.33
F38399,TUA00446,227.74,227.74
F38401,CAS00068,65.63,131.25
F38401,CAS00069,654.97,1309.94
F38401,CAS00070,23.77,47.53
F38401,CAS00071,67.69,135.37
F38403,TP0002,62.82,314.09
F38403,TP0003,77.57,387.87
F38404,TUA00124,668.43,668.43
F38407,PK51H1JBA600,0.0,3340.17
F38408,TEE00028,0.0,2289.82
F38408,TUS00123,0.0,1542.56
F38412,CAS00081,0.0,395.26
F38412,TP0024,48.49,48.49
F38417,TP0012,54.8,109.6
F38418,BN00258,0.0,172.35
F38424,TUA00447,0.0,3776.75
F38424,TUA00448,0.0,3574.62
F38425,TUE00362,48.03,48.03
F38426,TP0009,205.2,205.2
F38427,TP0011,135.69,542.76
F38427,TP0012,54.8,219.2
